ParamName,Mnemonic
SYNC WORD,SYNC
115 VAC XFR BUS 2,115VACXFRBS2
115VAC UNAVAIL TO L IGN 1,115VACNVLGN1
115VAC UNAVAIL TO L IGN 2,115VACNVLGN2
115VAC UNAVAIL TO R IGN 1,115VACNVRGN1
115VAC UNAVAIL TO R IGN 2,115VACNVRGN2
28 VDC BAT BUS SECT 2,28VDCBTBSCT2
28 VDC BUS 1 SECT 2,28VDCBS1SEC2
28 VDC BUS 2 SECT 3,28VDCBS2SEC3
28 VDC HOT BAT BUS,28VDCHTBTBS
28 VDC STDBY BUS SECT 2,28VDCSTBSCT2
28 VDC SW HOT BAT BUS S 1,28VDCSWHTBS1
5C/7B ENG MODEL TYPE #1,5C7BENGMDTP1
5C/7B ENG MODEL TYPE #2,5C7BENGMDTP2
A MASTER LIGHT,AMSTRLIT
A/C NUMBER LSB,ACNMBLSB
A/C NUMBER LSB + 1,ACNMBLSB1
A/C NUMBER LSB + 2,ACNMBLSB2
A/C NUMBER LSB + 3,ACNMBLSB3
A/C NUMBER LSB + 4,ACNMBLSB4
A/C NUMBER LSB + 5,ACNMBLSB5
A/C NUMBER LSB + 6,ACNMBLSB6
A/C NUMBER MSB,ACNMBMSB
A/C ON GND SEL EEC #1,ACONGNDSLEC1
A/C ON GND SEL EEC #2,ACONGNDSLEC2
A/C TYPE LSB,ACTYPLSB
A/C TYPE LSB+1,ACTYPLSB1
A/C TYPE LSB+2,ACTYPLSB2
A/C TYPE LSB+3,ACTYPLSB3
A/C TYPE LSB+4,ACTYPLSB4
A/C TYPE LSB+5,ACTYPLSB5
A/C TYPE MSB,ACTYPMSB
A/P OFF,APOFF
A/P WARN CAPT,APWARNCAPT
A/P WARN F/O,APWARNFO
A/T DISCONNECT SWITCH,ATDISCNTSWTH
A/T DISENGAGE,ATDISENGAGE
A/T ENGAGE,ATENGAGE
A/T LIMIT,ATLIMIT
A/T SPEED WARN,ATSPDWARN
A/T WARN CAPT,ATWARNCAPT
A/T WARN F/O,ATWARNFO
ABS ROLL<6DEG,ABSRLLT6DEG
ABSOLUTE AIRSPEED ERROR,ABSAIRSPDERR
ACMS S/W P/N CODE,ACMSSWPNCDE
ACTIVE ALTITUDE REF,ACTVALTREF
AD/IR FAULT,ADIRFLT
ADC FAULT,ADCFAULT
ADF LEFT SELECTED CAPT,ADFLFTSELCPT
ADF LEFT SELECTED F/O,ADFLFTSELFO
ADF RIGHT SELECTED CAPT,ADFRGTSELCPT
ADF RIGHT SELECTED F/O,ADFRGTSELFO
ADR AIR/GND LOGIC INVALID,ADRAGLGCINVL
ADR FAULT,ADRFAULT
ADV ALT RATE,ADVALTRAT
ADVISORY RATE TO MAINTAIN,ADVSRYRTMNTN
AIL ACTUATOR POS-L,AILACTRPOSL
AIL ACTUATOR POS-R,AILACTRPOSR
AIL POS-L,AILPOSL
AIL POS-R,AILPOSR
AIL QUADRANT POS,AILQUADPOS
AIL ROLL CMD-L,AILROLCMDL
AIL ROLL CMD-R,AILROLCMDR
AIR GND ON GND,AIRGNDONGND
AIR/GROUND,AIRGROUND
AIRPORTS SELECTED CAPT,AIRPRTSELCPT
AIRPORTS SELECTED F/O,AIRPRTSELFO
ALIGN FAULT,ALGNFLT
ALIGN MODE/NOT READY,ALGNMDNTRDY
ALT ACQ,ALTACQ
ALT ACQUIRE,ALTACQRE
ALT HOLD,ALTHOLD
ALT HOLD PB LITE,ALTHLDPBLTE
ALTERNATE ARM,ALTARM
ALTERNATOR FAULT #1,ALTNRFLT1
ALTERNATOR FAULT #2,ALTNRFLT2
ALTITUDE (1013.25mB) LSH,ALT101325LSH
ALTITUDE (1013.25mB) MSH,ALT101325MSH
ALTITUDE REPORTING,ALTREPRTG
ALTITUDE SELECT,ALTSELECT
ANGLE OF ATTACK (INDICATED) - L,ANGATKINDCL
ANGLE OF ATTACK (INDICATED) - R,ANGATKINDCR
ANP - LATERAL,ANPLATRL
ANP - VERTICAL,ANPVERTL
AOA FAIL,AOAFAIL
AOA SIGNAL FAIL,AOASIGFAIL
APPROACH IDLE SEL #1,APRHIDLSEL1
APPROACH IDLE SEL #2,APRHIDLSEL2
APPROACH MODE SEL CAPT,APRHMDSELCAP
APPROACH MODE SEL F/O,APRHMDSELFO
APPROACH PB LITE,APRHPBLITE
APU ANY FAULT DETECTED,APUANYFLTDET
APU EGT (T5),APUEGTT5
APU FIRE,APUFIRE
APU FUEL FLOW,APUFULFLW
APU LOW OIL QTY,APULOWOILQTY
APU N1,APUN1
APU OIL TEMP,APUOILTEMP
APU ON,APUON
ARM,ARM
