ParamName,Mnemonic
SYNC WORD,SYNC
Reason bits 1 - 12,REASON1
Reason bits 13 - 24,REASON2
Reason bits 25 - 36,REASON3
BYPASS SOV CURRENT,ABYPSOVCR1
BYPASS SOV CURRENT,ABYPSOVCR2
BYPASS SOV CURRENT,ABYPSOVCR3
BYPASS SOV CURRENT,ABYPSOVCR4
BYPASS SOV TRIP,ABYPSOVTP1
BYPASS SOV TRIP,ABYPSOVTP2
BYPASS SOV TRIP,ABYPSOVTP3
BYPASS SOV TRIP,ABYPSOVTP4
ACARGO HEAT TCV OPEN,ACHTCVOP
AFT CARGO HEAT TCV O,ACHTCVOP
PACK ACM L,ACMSTATL
PACK ACM R,ACMSTATR
CARGO TEMPERATURE,ACTEMP
ADF BEARING (LEFT),ADFBEARNG
ADF BEARING (RIGHT),ADFBEARNG
ADV RATE TO MAINTAIN,ADVRTTM
AFDC CENTER STATUS,AFDCCSTAT
AFDC LEFT STATUS,AFDCLSTAT
AFDC RIGHT STATUS,AFDCRSTAT
APU FIRE ALARM,AFIREALM
APU NG FLIGHT STARTS,AFLTSTARTS
CFE AFT FLOW VLV SQ1,AFTFLOW1
CFE AFT FLOW VLV SQ2,AFTFLOW2
CFE AFT LINE PRESS,AFTPRESS
AFT CARGO HEAT SOV,AFTSOVOP
AFT UPR MDL EXH VLV,AFTUMEXVI
AFT UPR MDL SOV INOP,AFTUMSOVI
AFT UPPER RECIRC FAN,AFTUPRFANL
AFT FUEL XFEED VLV C,AFTXFEEDCL
AFT FUEL XFEED VLV O,AFTXFEEDOP
ALL GEAR DN & LOCKED,AGDLKD
APU NG GROUND STARTS,AGNDSTARTS
AIR GND ON GND,AGOG
ALL GEARS UP & LOCKE,AGUL
AIL POSN L,AILLPOSN
AIL POSN R,AILRPOSN
LOSS OF AIRFLOW,AIRLOSSFB7
AUTOLAND CONFIRM,ALCONFIRM
ALL/THREAT TRAFFIC,ALLTHREAT
TRACK HORIZ ACCEL,ALNGTRKHRZ
ALTITUDE (1013) MSH,ALT
ALTITUDE (1013) LSH,ALT
ALT 1013 (SAARU) LSH,ALT
ALT 1013 (SAARU) MSH,ALT
ALT ARM,ALTARM
ALTITUDE LIMIT A,ALTLMTA1
ALTITUDE LIMIT A,ALTLMTA2
ALTITUDE LIMIT A,ALTLMTA3
ALTITUDE LIMIT A,ALTLMTA4
ALTITUDE LIMIT A,ALTLMTA5
ALTITUDE LIMIT A,ALTLMTA6
ALTITUDE LIMIT A,ALTLMTA7
ALT CAP OR HOLD,ALTOPER
ALTITUDE RATE,ALTRATE
ALT RATE (SAARU),ALTRATE
ALTITUDE RESOLUTION,ALTRES2
MAIN RAM ILM TRIP,AMRILMTP1
MAIN RAM ILM TRIP,AMRILMTP2
MAIN RAM ILM TRIP,AMRILMTP3
MAIN RAM ILM TRIP,AMRILMTP4
ATC/MODE S XPNDR 1,AMSTRNSP1
ATC/MODE S XPNDR 2,AMSTRNSP2
CORR ANGLE OF ATTACK,AOACORR
ENGINE AOHE POSITION,AOHESEL
AUTOP BKDRV L,APBDSTATL
AUTOP BKDRV R,APBDSTATR
APB ENABLE,APBENABLE
AUTOPILOT CAUTION,APCAUT
AUTOP DISCON WARN,APDISWARN
ANY AUTOP ENGAGED,APENG
AP MANUAL DISCONNECT,APMANDIS
A/P ON PFD,APPFD
APU BAT CURRENT,APUBATI
APU BAT VOLTAGE,APUBATV
APU BLEED AIR STATUS,APUBLDINOP
APUC_FAULT,APUCFAULT
APUC OPERATING MODE,APUCMODE
APUC ON COMMAND,APUCON
APU CONTROL - STATUS,APUCONTROL
NUMBER OF APU STARTS,APUCYC
R CTC APU DEMAND,APUDEMANDR
INLET DOOR POSITION,APUDOOR
APU IN DOOR ACT CLSD,APUDOORCL
APU IN DOOR - OPEN,APUDOOROP
APU DOOR/FUEL OFF V,APUDRSOV
APU FIRE,APUFIRE
APU OPERATING HOURS,APUHOUR
APU ISO VLV - OPEN,APUISOOP
APU ISO VLV - CLOSED,APUIVCLOS
APU LIMIT - CAUTION,APULIMIT
APU OIL QTY - STATUS,APUOILSTAT
APU RUNNING,APURUN
APU SERIAL NUMBER,APUSN
A/T ARM LEFT,ATARMLEFT
A/T ARM RIGHT,ATARMRIGHT
AT_ENGAGE,ATENGAGE
ATTENDED MODE,ATTENDED
ATTITUDE HOLD,ATTHLDOPER
AFT UPPER RECIRC FAN,AUFANONSSR
APU SHUTDOWN - ADVIS,AUTOSD
BB VIB CHANNEL A (L),AVMBBVIBA
BB VIB CHANNEL A (R),AVMBBVIBA
BB VIB CHANNEL B (L),AVMBBVIBB
BB VIB CHANNEL B (R),AVMBBVIBB
AVM FAULT STATUS,AVMCPSTATB
BCRS MODE ARM,BCRSARM
BCRS MODE OPER,BCRSOPER
BLEED TOT PRESS APU,BLDTOTP
SPD DISPLAY BLANK,BLNKSPDDIS
TRK HORIZ ACC SAARU,BNALGTKHRZ
FLT PATH ACCEL SAARU,BNFLTPTACC
GROUND SPEED (SAARU),BNGNDSPEED
MAGNETIC HDG (SAARU),BNMAGHEADG
TRUE HEADING (SAARU),BNTRUHEADG
TRUE TRK ANGLE SAARU,BNTRUTKANG
BODY PITCH RATE,BODPTCHRAT
BODY ROLL RATE,BODROLLRAT
BODY YAW RATE,BODYAWRATE
C DEM 1 PUMP SEL,C1DEMPUMP
C DEM 2 PUMP SEL,C2DEMPUMP
CABIN PRESSURE WORD,CABPRS
CHANNEL A IN CONTROL,CAICDISFCC
COMPUTED AIR SPEED,CAS
COMP AIRSPD (SAARU),CAS
CHANNEL B IN CONTROL,CBICDISFCC
CAP COL 1 POSN,CCOL1POS
CAP COL 2 POSN,CCOL2POS
CAP COL 3 POSN,CCOL3POS
COG NORMAL ACCEL,CGBRMACL
COG LATERAL ACCEL,CGLATACL
COG LON ACCEL,CGLNGACL
CENTER DENCITY,CNTRDENS
CENTER FUEL WEIGHT,CNTRFW
COMBINED CONTROL,COMBCTRL
CTAI VLV POSN_1132,CSTAT1031132
CTAI VLV POSN_4502,CSTAT1034502
CTAI VLV POSN LEFT,CSTAT1038
CTAI VLV POSN RIGHT,CSTAT1036
LOCAL ICE DETECTED W,CSTAT110
LOCAL ICE DETECTED C,CSTAT111
REMOTE ICE DETECTOR,CSTAT112
LOCAL ICE DETECTOR F,CSTAT113
CTAI OVERHEAD SWITCH,CSTAT204
ACIPS CARDTYPE STATU,CSTAT207
CTAI FRSOV POSITION,CSTAT215
CTAI FLOWRATE WC L,CTAIFLOW
CTAI FLOWRATE WC R,CTAIFLOW
